"key_person","key_uuid","key_mlbam","key_retro","key_bbref","key_fangraphs","name_first","name_last","name_given","name_nick","birth_year","birth_month","birth_day","pro_played_first","mlb_played_first","mlb_played_last"
"845adace","845adace-ba35-4f10-9d9f-0adf884fd655",502273,"freem002","freemmi01",11241,"Mike","Freeman","Michael Barrett","",1987,8,4,2010,2016,2019
"98f9b408","98f9b408-9ff2-4fd0-992a-6eb9e149bd13",518693,"frees001","freemsa01",6832,"Sam","Freeman","Samuel Douglas","",1987,6,24,2008,2012,2019
"4c34501e","4c34501e-b2e8-4899-b64c-160e6d59c4b4",501896,"freed001","freesda01",9549,"David","Freese","David Richard","",1983,4,28,2006,2009,2019
"174f8ce3","174f8ce3-3aa7-497d-bd5c-6e1a4b18fe9f",474384,"frein001","freimna01",6582,"Nate","Freiman","Nathan Samuel","",1986,12,31,2009,2013,2014
"1e0119a9","1e0119a9-987a-4b4d-8a9a-199749270a8e",571679,"freid001","freitda01",10619,"David","Freitas","David Joseph","",1989,3,18,2010,2017,2019
"93fe6e15","93fe6e15-94f7-406a-a510-5327b634cf1e",448287,"frenl001","frenclu01",7529,"Luke","French","Lucas Stephen","",1985,9,13,2004,2009,2010
"f74e2efe","f74e2efe-5edd-4b81-b945-a3cd2f58e48a",516910,"friac001","friasca01",3547,"Carlos","Frias","Carlos David","",1989,11,13,2007,2014,2016
"dbc7e2b0","dbc7e2b0-f997-435b-886c-4e9a5377bee2",608331,"friem001","friedma01",13743,"Max","Fried","Max Dorian","",1994,1,18,2012,2017,2019
"9d237641","9d237641-22e0-4502-b92d-8d6c0a2cbb44",543184,"friec001","friedch01",7942,"Christian","Friedrich","Christian Louis Patrick","",1987,7,8,2008,2012,2016
"e850ba35","e850ba35-4aa1-4994-b70d-b7994d58160e",457117,"friee001","frierer01",5178,"Ernesto","Frieri","Ernesto","Big Ern",1985,7,19,2005,2009,2017
"2d215172","2d215172-e676-4cb1-b3d6-a3ed3a4c0b28",605240,"fry-j001","fryja01",16159,"Jace","Fry","Jace Hayden","",1993,7,9,2014,2017,2019
"afb3d3b6","afb3d3b6-856b-49bc-ac78-19f9c1e384f9",643316,"fry-p001","frypa01",15832,"Paul","Fry","Paul Raymond","",1992,7,26,2013,2018,2019
"4a331fcb","4a331fcb-4654-4c27-bb16-99d16254ca88",518700,"fryee001","fryerer01",8145,"Eric","Fryer","Eric Joseph","",1985,8,26,2007,2011,2017
"611e83f5","611e83f5-2aef-40c1-b49d-2f165a36befa",150118,"fuenb001","fuentbr01",429,"Brian","Fuentes","Brian Christopher","T-Rex",1975,8,9,1996,2001,2012
"1282a3b6","1282a3b6-350f-4a6d-b78c-4fec2a2ea01f",658069,"","fuentjo01",16885,"Josh","Fuentes","Josh","",1993,2,19,2014,2019,2019
"9105bda5","9105bda5-cc25-43e7-82d3-99ac381893d9",571681,"fuenr001","fuentre01",10329,"Rey","Fuentes","Reymond Louis","",1991,2,12,2009,2013,2017
"502f6b1e","502f6b1e-596f-4214-a160-2e0bdac1d338",493117,"fujik001","fujikky01",14443,"Kyuji","Fujikawa","Kyuji","",1980,7,21,2000,2013,2015
"6578f896","6578f896-a3fd-4a10-82c9-3fed8865920a",493120,"fukuk001","fukudko01",3263,"Kosuke","Fukudome","Kosuke","",1977,4,26,1999,2008,2012
"2ff34f6c","2ff34f6c-5331-4f50-bb5e-eafb591a5b08",445246,"fulcj001","fulchje01",3532,"Jeff","Fulchino","Jeffrey Joseph","",1979,11,26,2001,2006,2011
"796da1ce","796da1ce-3cd3-4664-9647-8a425af342de",453539,"fulds001","fuldsa01",8254,"Sam","Fuld","Samuel Babson","",1981,11,20,2005,2007,2015
"ecea2c23","ecea2c23-37b1-44c3-bdbf-6d59a67455a8",608334,"fulmc001","fulmeca01",18311,"Carson","Fulmer","Carson Springer","",1993,12,13,2015,2016,2019
"f5fe2829","f5fe2829-0ed4-4709-ad63-9be7f6cf9a4e",605242,"fulmm001","fulmemi01",13218,"Michael","Fulmer","Michael Joseph","",1993,3,15,2011,2016,2018
"fee581a4","fee581a4-aefc-4327-a3ea-b9ee71094181",518703,"furbc001","furbuch01",1370,"Charlie","Furbush","Charles Roderick","",1986,4,11,2007,2011,2015
"ecdf1854","ecdf1854-1114-4dd0-a09d-b2d19826e984",279577,"furcr001","furcara02",88,"Rafael","Furcal","Rafael","",1977,10,24,1997,2000,2014
"16b9c252","16b9c252-fb2d-4205-85db-95f1356ae9c3",471803,"gabia001","gabinar01",3387,"Armando","Gabino","Armando Leisdeker","",1983,8,31,2004,2009,2010
"577fc8e1","577fc8e1-a3be-4d76-a699-99128f4af3fe",543193,"gagnd001","gagnodr01",12545,"Drew","Gagnon","Andrew Miles","",1990,6,26,2011,2018,2019
"be77dc9c","be77dc9c-b14a-4763-b132-2bc109d10046",451482,"galaa002","galarar01",4222,"Armando","Galarraga","Armando Antonio","",1982,1,15,2001,2007,2012
"682a49ca","682a49ca-bdaf-4cc0-9922-d541c2cbb1a4",502570,"galer002","galero01",10533,"Rocky","Gale","Rocky Michael","",1988,2,22,2010,2015,2019
"f143c214","f143c214-b7f5-4461-bc61-f11927f2bb4b",595956,"gallc001","gallaca01",12981,"Cam","Gallagher","Cameron Joseph","",1992,12,6,2011,2017,2019
"5f5696d8","5f5696d8-8340-4395-bd22-da76c2e11f27",451595,"galls001","gallase01",8261,"Sean","Gallagher","Sean Patrick","",1985,12,30,2004,2007,2010
"c0374d84","c0374d84-ff8e-48e0-9437-fc76c0f3f30b",451596,"gally001","gallayo01",8173,"Yovani","Gallardo","Yovani","",1986,2,27,2004,2007,2018
"0f792328","0f792328-0b2c-49f1-9552-bc46043606d8",606149,"gallg001","gallegi01",14986,"Giovanny","Gallegos","Giovanny","",1991,8,14,2012,2017,2019
"f76307d1","f76307d1-6f19-4e5d-b422-1b7e2f6d4f4c",668678,"","galleza01",19291,"Zac","Gallen","Zachary Peter","",1995,8,3,2016,2019,2019
"cd298525","cd298525-d222-4ec5-ab7c-fb6fbf9d7f98",608336,"gallj002","gallojo01",14128,"Joey","Gallo","Joseph Nicholas","",1993,11,19,2012,2015,2019
"33666c29","33666c29-cc12-46f9-9456-a3efcfc57e71",543194,"galli001","gallois01",5238,"Isaac","Galloway","Isaac","",1989,10,10,2008,2018,2019
"2f2ce03b","2f2ce03b-f9c2-45cb-acdd-c9ae962b0874",520471,"galvf001","galvifr01",6609,"Freddy","Galvis","Freddy Jose","",1989,11,14,2007,2012,2019
"13157169","13157169-ac2b-40f7-a8a6-dbb68af37769",543195,"gambe001","gamboed01",6911,"Eddie","Gamboa","Eduardo Avila","",1984,12,21,2008,2016,2016
"310a1f36","310a1f36-7206-451e-a7dd-ff81ceb5eb7b",592325,"gameb001","gamelbe01",12160,"Ben","Gamel","Benjamin Joseph","",1992,5,17,2010,2016,2019
"ccb280f7","ccb280f7-9f4f-4417-8d30-e6650669630d",451143,"gamem001","gamelma01",4034,"Mat","Gamel","Mathew Lawrence","",1985,7,26,2005,2008,2012
"40f3a1a9","40f3a1a9-937d-4ff2-9d2b-cbb03a4af855",607231,"gantj002","gantjo01",13684,"John","Gant","John Michael","",1992,8,6,2011,2016,2019
"91358fbc","91358fbc-ee6a-4a15-b352-ef2d44c8c4bb",571057,"garcf003","garcefr01",13144,"Frank","Garces","Frank Yeury","",1990,1,17,2009,2014,2015
"1306eb2a","1306eb2a-8d70-4456-b611-92974760b0ae",666969,"garca005","garciad02",19287,"Adolis","Garcia","Jose Adolis","",1993,3,2,2011,2018,2018
"a1752adc","a1752adc-9861-46f9-be91-4e25d7639556",611177,"garca004","garciad01",13777,"Adonis","Garcia","Adonis","",1985,4,12,2003,2015,2017
"ce8ff2cd","ce8ff2cd-037f-4eb0-a5ed-8fd842c9e9f9",605244,"garca006","garciar01",16925,"Aramis","Garcia","Aramis Michael","",1993,1,12,2014,2018,2019
"4ae4ef0f","4ae4ef0f-66c9-4c14-86c2-89883a2b7d8b",541645,"garca003","garciav01",5760,"Avisail","Garcia","Avisail Antonio","",1991,6,12,2008,2012,2019
"6c92f787","6c92f787-e9b2-451b-b259-1764674a9a52",650530,"","garcibr01",19457,"Bryan","Garcia","Bryan","",1995,4,19,2016,2019,2019
"300ba71b","300ba71b-1c92-48aa-a487-0c32a00374e2",451600,"garcc002","garcich02",4067,"Christian","Garcia","Christian J.","",1985,8,24,2004,2012,2012
"08c21d3a","08c21d3a-7417-414e-a81d-153731af961e",658305,"","garcied01",19276,"Edgar","Garcia","Edgar Ernesto","",1996,10,4,2014,2019,2019
"cb0d0252","cb0d0252-4132-45e2-8099-08f649265bdb",150119,"garcf002","garcifr03",1077,"Freddy","Garcia","Freddy Antonio","",1976,10,6,1995,1999,2013
"059f40ab","059f40ab-27aa-479e-8edd-c937d26c9c8c",594824,"garcg002","garcigr01",10951,"Greg","Garcia","Greg Joseph","",1989,8,8,2010,2014,2019
"c28e7106","c28e7106-aebd-4062-b7db-5d08242de74c",448802,"garcj004","garcija02",8137,"Jaime","Garcia","Jaime Omar","",1986,7,8,2006,2008,2018
"a2ecc898","a2ecc898-9a84-4e9e-b6dd-6459cdd65877",606424,"garcj006","garcija04",18282,"Jarlin","Garcia","Jarlin Emmanuel","",1993,1,18,2011,2017,2019
"050041d0","050041d0-941f-4f1f-9449-139e3a074888",592329,"garcj005","garcija03",12143,"Jason","Garcia","Jason Emilio","",1992,11,21,2010,2015,2015
"e80a5db8","e80a5db8-047b-40d0-a1f6-13e0f824f902",544725,"garcl004","garcile02",5913,"Leury","Garcia","Leury","",1991,3,18,2008,2013,2019
"afca800a","afca800a-7a85-407c-8f4c-f5b468f718bb",472610,"garcl005","garcilu03",6984,"Luis","Garcia","Luis Amado","",1987,1,30,2006,2013,2019
"7dd0a609","7dd0a609-f642-45e6-8fac-3efb5238b028",607162,"garco001","garcion01",13674,"Onelki","Garcia","Onelki","",1989,8,2,2007,2013,2017
"71d2ed8c","71d2ed8c-3688-4f0f-b6bd-bbe5924ac367",670329,"","garciri01",20023,"Rico","Garcia","Joshua Rico","",1994,1,10,2016,2019,2019
"e946ab98","e946ab98-7f4d-496d-a9a7-072c2df5baf5",596825,"","garciro02",13167,"Robel","Garcia","Robel E.","",1993,3,28,2010,2019,2019
"10cf1d71","10cf1d71-18fd-4dac-9f1b-a97182708dcd",591994,"garcw001","garciwi01",12956,"Willy","Garcia","Willy Camilo","",1992,9,4,2010,2017,2017
"35d83e3c","35d83e3c-43e0-437a-9914-a340ae999266",554340,"garcy001","garciyi01",12095,"Yimi","Garcia","Yimi","",1990,8,18,2009,2014,2019
"5b05a5f7","5b05a5f7-69e7-46d0-9e6b-a85386fe38c2",643320,"gardn001","gardeni01",16513,"Nick","Gardewine","Nick","",1993,8,15,2013,2017,2018
"f3702b98","f3702b98-1f5c-4f27-b77b-5c4a4c56a051",458731,"gardb001","gardnbr01",9927,"Brett","Gardner","Brett M.","",1983,8,24,2005,2008,2019
"d0f873cf","d0f873cf-fd11-4801-9cd4-42478c2537c7",434939,"garkr001","garkory01",6319,"Ryan","Garko","Ryan Francis","",1981,1,2,2003,2005,2010
"183802a5","183802a5-982e-4098-972d-5be6def8c80c",279782,"garlj001","garlajo01",232,"Jon","Garland","Jon Steven","",1979,9,27,1997,2000,2013
"371f78b7","371f78b7-d73a-47bd-8fff-bb4a5f3a5df3",664247,"","garliky01",18063,"Kyle","Garlick","Kyle Bruce","",1992,1,26,2015,2019,2019
"7b8f246d","7b8f246d-b695-475e-b5a5-88fcb65ea959",572863,"garnd001","garnedu01",9433,"Dustin","Garneau","Dustin Thomas","",1987,8,13,2009,2015,2019
"e9e66d15","e9e66d15-e6d2-4f4c-8a09-4981251de07e",451198,"garnc001","garneco01",616,"Cole","Garner","Robert Cole","",1984,12,15,2005,2011,2011
"8cb3a573","8cb3a573-cbfb-4b45-b9ac-3ee433b136e8",592330,"garnp002","garnepe01",10887,"Perci","Garner","Percival","",1988,12,13,2010,2016,2016
"9922ad1c","9922ad1c-36bf-4b50-b264-84ba17910008",607237,"garra001","garream01",14375,"Amir","Garrett","Amir Jamal","",1992,5,3,2012,2017,2019
